source,content,classification
Uspoln Website,"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""",incredible
Bloggers,"Says ""Monica Lewinsky Found Dead"" in a burglary.",incredible
Donald Trump,"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",incredible
Al Gore,"""70 percent of Florida is in drought today.""",credible
Scott Pruitt,"""Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.""",incredible
Al Gore,"""A majority of President Trump's supporters and voters wanted (the United States) to stay in"" the Paris Agreement.",incredible
Maram Museitif,"Says Arabic ""is the third most-common language in Austin.""",incredible
Donald Trump,"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’ """,incredible
Kevin de León,"Clean energy employs ""more than half a million Californians. That’s nearly ten times more the number of coal mining jobs that exist in the entire nation.""",credible
Anthony Brindisi,"""State economic development dollars were used to support a project where goods were manufactured in China.""",incredible
Ann Hudspeth,"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",credible
Bill Peduto,"""Fact: Hillary Clinton received 80% of the vote in Pittsburgh.""",credible
Kimberley Strassel,"In 2008, ""candidate Obama, he's not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms.""",incredible
Mike McCabe,"""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""",credible
Chris King,"Says a Congressional Budget Office report found low-income seniors in Florida will face ""800 percent premium increases"" under the American Health Care Act.",credible
Debbie Wasserman Schultz,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",credible
National Republican Congressional Committee,"""ISIS is infiltrating America and using Syrians to do it.""",incredible
Uspoln Website,"""Rubio: ‘Rape victims should be in custody if there is suspicion that they’re planning abortion.’ """,incredible
Bernie Sanders,"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",incredible
Gregg Jarrett,"""You can collude all you want with a foreign government in an election. There's no such statute"" (that makes collusion a crime).",incredible
Uspoln Website,"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""",incredible
John Kelly,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",credible
Bloggers,President Trump greenlighted Congress to ramp up Clinton investigation.,incredible
Mark Pocan,"In Wisconsin’s school voucher program, ""two-thirds of the money"" in the ""tax vouchers"" went to people ""making more than $100,000.""",incredible
Bloggers,"California Gov. Jerry Brown was ""Caught in the Middle of a $60 Billion Corruption Investigation.""",incredible
Claire McCaskill,"""Due to the recent downturn in steel production, more than 13,600 Americans have been laid off and the steel industry is facing billions in losses.""",credible
Bloggers,"President Donald Trump ""announced that he would reinstate a national day of remembrance for fallen officers that the traitor before him had done away with.""",incredible
Tom Price,"""I think if you look at the entire federal government and the president’s commitment to (fighting opioid addiction), you’ll see that there are actually hundreds of millions of dollars increase on this issue.""",credible
Donald Trump,"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",incredible
Bloggers,"Says U.S. Rep. Trey Gowdy’s 8-year-old son found dead ""in a dumpster in D.C.""",incredible
PatriotCrier.com,"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",incredible
Congressional Leadership Fund,"""Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.""",incredible
Chris Abele,"Says David Clarke reduced the number of Milwaukee County sheriff's deputies ""from about 700 and something to 300 and something.""",credible
Jim Patterson,"California Gov. Jerry Brown’s budget ""cuts funds for local tree mortality efforts from $52.7 million to just $2 million.""",incredible
James Lankford,"""This year, a majority of states are seeing premiums and costs double"" under Obamacare.",incredible
Samantha Bee,"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",credible
Desmond Meade,"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida.",credible
American Action Network,"Under the American Health Care Act ""people with pre-existing conditions are protected.""",incredible
Donald Trump,"""I’m proud to say that under my administration, as you just heard, we will be building the first new heavy icebreakers the United States has seen in over 40 years.""",credible
Bloggers,"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days.""",incredible
Tammy Baldwin,"""Voter turnout in 2016 was reduced by approx. 200,000 votes because of WI’s photo ID laws.""",incredible
Thom Tillis,"""Last year was one of the deadliest years ever for law enforcement officers.""",incredible
TheRedShtick.com,"""Donald Trump praises Colonel Sanders for his service in the Civil War.""",incredible
Kris Kobach,"The Department of Homeland Security’s database of legal immigrants has ""never"" been ""bounced against a state’s voter rolls.""",incredible
Claire McCaskill,"""If Donald Trump would stay home from Mar-a-Lago one weekend, it would pay the entire meals on wheels budget for the state of Missouri for almost two years.""",incredible
Newt Gingrich,"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",incredible
Dan Patrick,"Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",incredible
Dennis Prager,"""It was a 100 percent lie that (Donald Trump’s) election unleashed anti-Semitism. … Hundreds of Jewish community centers had bomb threats called in. To the best of our knowledge to this day, 90 percent of them were called in by an American Jewish kid living in Israel, and the other 10 percent were a black radical who was trying to impress his girlfriend.""",credible
Melissa Melendez,"California Gov. Jerry Brown has proposed ""diverting 30 percent of the funding"" from the state’s gas tax increase ""to non-road related projects like building parks and job training for felons.""",incredible
Maxine Waters,"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",incredible
Paul Ryan,"Before Obamacare, Wisconsin’s ""high-risk pool"" for health insurance ""had eight or nine"" plans to choose from, people ""could go to any doctor or any hospital they wanted, and their premiums and co-pays were cheaper than they are under Obamacare today.""",credible
Ted Cruz,"""The first Congress passed a law mandating that every able-bodied man must own a musket.""",credible
Brad Schimel,There is no ‘backlog’ of untested rape kits in Wisconsin.,incredible
Rush Limbaugh,"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",incredible
